,Date,Value,Sentiment,Tweet
122,2017-03-31,904.3050000000001,0.7096,"@redletterdave Good point, odds go from 0% to >0% :)"
133,2017-04-18,973.5024999999999,0.7845,RT @AAAauto: .@TeslaMotors Model X 75D-Overall Winner of the 2017 AAA Green Car Guide. More info on the winners & car reviews: https://t.co?
137,2017-04-24,1002.7994999999999,0.9638,"@moomoodining @creepypuppet @cowanfilms Great food, great ambience and with great friends. We all really enjoyed the visit."
145,2017-05-04,979.8299999999999,0.8312,Was just rereading one of my favorites. So beautiful ? https://t.co/gp0aNnWxcM
149,2017-05-10,1046.485,0.8625,"@cubamark Will do our best. Hopefully, yes."
157,2017-05-22,1011.5575,0.8151,"@rrosenbl Yeah, control algorithm is safe, but unpleasant. New one is even safer, but super smooth."
158,2017-05-22,1011.5575,0.7003,RT @waitbutwhy: Good resource for people looking to dedicate themselves to the development of safe AI: https://t.co/hN0U0z3MKn
160,2017-05-24,1000.4649999999999,0.7184,@leonwang0091 Only if you want pure joy mainlined straight into your brain
161,2017-05-24,1000.4649999999999,0.7003,@davidshepardson True :)
162,2017-05-24,1000.4649999999999,0.8439,Feel exactly the same way as A.O. Scott. Particularly loved The Spy Who Loved Me https://t.co/Lar9pNj2Zi
166,2017-05-31,1100.9925,0.7644,"@Taraustralis @VividSydney Yeah, it was great!"
168,2017-06-02,1103.5425,0.7096,@anandmahindra Good point :)
170,2017-06-06,1132.363,0.784,@RobinWigg Great comedy! They should write for @TheOnion.
172,2017-06-08,1188.37,0.7269,"@AndrewHaigh Yeah, car should auto play when it gets an exact match, like it does for directions. Will make that change."
173,2017-06-08,1188.37,0.7717,Just tap the voice button on the steering wheel and say Play Monty Python or Navigate home or anything. Voice commands work pretty well.
174,2017-06-08,1188.37,0.7506,@redletterdave The scene where Brian is saved from the Romans by falling off a tower into a spaceship is the best D? https://t.co/V3XSdyTuWS
175,2017-06-09,1195.4199999999998,0.8622,"@mor10 I love Norway, which is the world leader in EV adoption! Great example for the rest of the world."
176,2017-06-09,1195.4199999999998,0.765,@RafaelM81 @EricaBoarman That is true. Ludicrous mode is like having pure joy on tap. Nothing else (legal) will get you that.
179,2017-06-14,1236.81,0.7249,RT @jovanik21: @TheRealPortela @elonmusk @cnntech Best customer service I've ever received!!!
194,2017-07-06,1021.5574999999999,0.7639,@SpaceX @INTELSAT Thanks @INTELSAT! Really proud of the rocket and SpaceX team today. Min apogee requirement was 28? https://t.co/EvAel0OajT
195,2017-07-06,1021.5574999999999,0.8658,SpaceX team reviewed all systems again late last night. Done our best to ensure all is good. https://t.co/R3YrF6PEt4
198,2017-07-11,1039.385,0.9194,"@DJSnM It was a tough negotiation, but they seemed like good guys. I hope they kept the stock. Would be worth a lot today."
199,2017-07-11,1039.385,0.9238,"Thanks PayPal for allowing me to buy back https://t.co/bOUOejO16Y! No plans right now, but it has great sentimental value to me."
202,2017-07-14,1054.775,0.7096,@stevesi I told you it was verbose. Better tomorrow :)
203,2017-07-17,1045.9825,0.8039,@FredericLambert @ka_choo_choo @ElectrekCo Not attacking Electrek. Just making sure people don't have the wrong impression.
206,2017-07-20,1063.8,0.7424,@DaveLeeBBC Support would be much appreciated!
209,2017-07-25,1109.65,0.7469,"Tim's piece on AI is excellent, but we actually face a double exponential rate of improvement. AI hardware & softwa? https://t.co/JfLoHVCxMH"
213,2017-07-31,1078.8975,0.8885,"@SmileSimplify @notshahzeb @verge There are several dozen ship names in the Culture series, but I liked those best"
215,2017-08-02,1038.7525,0.7964,We poured our heart into the car. Hope you love it. https://t.co/DZOgQUfENo
222,2017-08-11,1161.3174999999999,0.8481,@TIME This is about as true as TIME being a paragon of great journalism. Please spend at least 8 seconds checking your facts.
223,2017-08-11,1161.3174999999999,0.8625,@businessinsider MB was given 52 weeks of salary & stock in appreciation for her great contribution & left to join? https://t.co/m3nHHpVbFe
225,2017-08-15,1180.6425,0.7184,"@neddesmond @SpaceX We certainly could, but, while not suggesting complacency, I'm confident that the US DoD and in? https://t.co/81HxzmMZBC"
229,2017-08-21,1107.955,0.8156,"RT @cmleahey: Mars is looking pretty good right now, no? Meet the woman (@elonmusk's right hand @SpaceX ) working to get us there https://t?"
231,2017-08-23,1118.9765000000002,0.8846,"@KonstDubbed Yeah. It's kinda disgusting, but my boys and I love it :)"
234,2017-08-28,1120.7649999999999,0.7469,"@newscientist Moon base alpha (cheesy show, but I loved it) plus Mars"
235,2017-08-28,1120.7649999999999,0.8472,"Congratulations to WARR team from Tech Univ Munich for winning 2nd @Hyperloop competition! Peak speed of 324 km/h, which is over 200 mph!!"
236,2017-08-28,1120.7649999999999,0.784,Just arrived at the @Hyperloop competition final. Student teams have amazing talent!
237,2017-08-28,1120.7649999999999,0.7269,@OfficeOfOMAR @HyperloopOne I hope they and any others trying to advance transport technology succeed
240,2017-08-31,1153.7849999999999,0.7876,"@GigarothPack Not a bad idea. For sure, it makes sense to test AI for safety in some kind of open world / sandbox virtual world."
241,2017-08-31,1153.7849999999999,0.7579,RT @karpathy: We're hiring strong ML/CV/Roboticists for the Tesla Autopilot Vision team. We ship autonomy at scale. Join us: vision@tesla.c?
260,2017-09-28,1102.93,0.8356,@Fashionista_com @mayemusk Congrats Mom! I love you.
261,2017-09-28,1102.93,0.8024,"RT @mayemusk: .@covergirl I'm so excited to say that I'm now officially a COVERGIRL, at 69! Beauty is for all ages. #COVERGIRLMADE https://?"
262,2017-09-29,1110.3960000000002,0.8271,"@MeltingIce Assuming max acceleration of 2 to 3 g's, but in a comfortable direction. Will feel like a mild to moder? https://t.co/fpjmEgrHfC"
